PlateID: ,CAS001,,,,,,
LenseUsed: ,MV65051B - 117 mm,,,,,,
,,,,,,,
Species,Age,MalaiseDate,SpecimenCode/Filename,Ventral,Dorsal,Lateral(left),Lateral(right)
Mintho compressa,2022,12Jul2022,CAS0000037,0,0,1,1
Trixion aberrans,2022,06Jul2022,CAS0000038,1,0,1,0
Dexia rustica,2022,21Jun2022,CAS0000039,0,0,1,1
Peribaea tibialis,2022,03Nov2022,CAS0000040,0,0,1,1
Macquartia tessellum,2022,04Jun2022,CAS0000041,0,0,1,1
Clausicella suturata,2022,03Nov2022,CAS0000042,0,0,1,1
Dexia rustica,2022,06Jul2022,CAS0000043,0,0,1,1
Peribaea tibialis,2022,06May2022,CAS0000044,1,0,0,1
Peribaea tibialis,2022,21Jul2022,CAS0000045,1,0,1,0
Stomina caliendrata,2022,27Sep2022,CAS0000046,1,0,1,0
Voria ruralis,2022,03Nov2022,CAS0000047,0,0,1,1
Macquartia tessellum,2022,06May2022,CAS0000048,1,0,0,1
Voria ruralis,2022,23Nov2022,CAS0000049,1,0,1,0
Leucostoma abbreviatum,2022,28Jul2022,CAS0000050,1,0,0,1
Cylindromyia bicolor,2022,04Jun2022,CAS0000051,0,0,1,1
Stomina caliendrata,2022,15Sep2022,CAS0000052,0,1,0,1
,2022,03Nov2022,CAS0000053,0,0,1,1
Triarthria setipennis,2022,03Nov2022,CAS0000054,1,0,0,1
Prooppia nigripalpis,2022,04Jun2022,CAS0000055,1,0,1,0
Pales processioneae,2022,03Nov2022,CAS0000056,0,1,1,0
Leucostoma simplex,2022,27Sep2022,CAS0000057,0,1,0,1
Triartria setipennis,2022,27Sep2022,CAS0000058,1,0,0,1
Voria ruralis,2022,26May2022,CAS0000059,1,0,0,1
Oswaldia muscaria,2022,04Jul2022,CAS0000060,1,0,0,1
Oswaldia muscaria,2022,04Jul2022,CAS0000061,1,0,0,1
Oswaldia muscaria,2022,04Jul2022,CAS0000062,0,0,1,1
,2022,04Jul2022,CAS0000063,1,0,0,1
Dexia rustica,2022,21Jun2022,CAS0000064,1,0,0,1
Oswaldia muscaria,2022,21Jun2022,CAS0000065,1,0,1,0
Compsilura concinnata,2022,26Jun2022,CAS0000066,1,0,0,1
Compsilura concinnata,2022,26Jun2022,CAS0000067,1,0,0,1
Exorista rustica-group,2022,20May2022,CAS0000068,0,0,1,1
Leskia aurea,2022,4Jun2022,CAS0000069,1,0,0,1
Tachina fera,2022,03Nov2022,CAS0000070,1,0,0,1
Zeuxia erythraea,2022,04Jun2022,CAS0000071,1,0,1,0
Dexia rustica,2022,03Nov2022,CAS0000072,0,0,1,1
Dexia rustica,2022,03Nov2022,CAS0000073,0,1,1,0
Dexia rustica,2022,03Nov2022,CAS0000074,0,0,1,1
Dexia rustica,2022,03Nov2022,CAS0000075,0,0,1,1
Dexia rustica,2022,03Nov2022,CAS0000076,0,0,1,1
Dexia rustica,2022,03Nov2022,CAS0000077,1,0,1,0
Dexia rustica,2022,03Nov2022,CAS0000078,0,0,1,1
Dexia rustica,2022,03Nov2022,CAS0000079,0,1,1,0
Dexia rustica,2022,03Nov2022,CAS0000080,1,0,1,0
Dexia rustica,2022,03Nov2022,CAS0000081,1,0,1,0
Peribaea tibialis,2022,24Apr2022,CAS0000082,0,1,1,0
Peribaea tibialis,2022,24Apr2022,CAS0000083,1,0,1,0
Peribaea tibialis,2022,24Apr2022,CAS0000084,1,0,1,0
Peribaea tibialis,2022,24Apr2022,CAS0000085,0,0,1,1
Peribaea tibialis,2022,24Apr2022,CAS0000086,0,0,1,1
Peribaea tibialis,2022,24Apr2022,CAS0000087,0,0,1,1
Actia crassicornis,2022,24Apr2022,CAS0000088,1,0,1,0
Peribaea tibialis,2022,24Apr2022,CAS0000089,1,0,1,0
Peribaea tibialis,2022,24Apr2022,CAS0000090,1,0,1,0
Peribaea tibialis,2022,24Apr2022,CAS0000091,1,0,1,0
Peribaea tibialis,2022,24Apr2022,CAS0000092,1,0,1,0
Meigenia mutabilis-group,2022,23Nov2022,CAS0000093,1,0,0,1
Trixion aberrans,2022,12Jul2022,CAS0000094,1,0,1,0
Actia crassicornis,2022,06Jun2022,CAS0000095,1,0,1,0
