Species,Age,MalaiseDate,SpecimenCode/Filename,Ventral,Dorsal,Lateral(left),Lateral(right)
Dexia rustica,2022,03Nov2022,CAS0000075,0.0,0.0,1.0,1.0
Dexia rustica,2022,03Nov2022,CAS0000076,0.0,0.0,1.0,1.0
Dexia rustica,2022,03Nov2022,CAS0000077,1.0,0.0,1.0,0.0
Dexia rustica,2022,03Nov2022,CAS0000078,0.0,0.0,1.0,1.0
Dexia rustica,2022,03Nov2022,CAS0000079,0.0,1.0,1.0,0.0
Dexia rustica,2022,03Nov2022,CAS0000080,1.0,0.0,1.0,0.0
Dexia rustica,2022,03Nov2022,CAS0000081,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,24Apr2022,CAS0000082,0.0,1.0,1.0,0.0
Peribaea tibialis,2022,24Apr2022,CAS0000083,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,24Apr2022,CAS0000084,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,24Apr2022,CAS0000085,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,24Apr2022,CAS0000086,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,24Apr2022,CAS0000087,0.0,0.0,1.0,1.0
Actia crassicornis,2022,24Apr2022,CAS0000088,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,24Apr2022,CAS0000089,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,24Apr2022,CAS0000090,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,24Apr2022,CAS0000091,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,24Apr2022,CAS0000092,1.0,0.0,1.0,0.0
Meigenia mutabilis-group,2022,23Nov2022,CAS0000093,1.0,0.0,0.0,1.0
Trixion aberrans,2022,12Jul2022,CAS0000094,1.0,0.0,1.0,0.0
Actia crassicornis,2022,06Jun2022,CAS0000095,1.0,0.0,1.0,0.0
Siphona sp.,2022,28Jun2022,CAS0000096,0.0,1.0,0.0,1.0
Siphona pauciseta,2022,28Jun2022,CAS0000097,0.0,1.0,1.0,0.0
Gymnosoma sp.,2022,28Jun2022,CAS0000098,0.0,0.0,1.0,1.0
Gymnosoma sp.,2022,28Jun2022,CAS0000099,0.0,0.0,1.0,1.0
Leucostoma simplex,2022,28Jul2022,CAS0000100,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,05Aug2022,CAS0000101,1.0,0.0,0.0,1.0
Microsoma exiguum,2022,26Jun2022,CAS0000102,1.0,0.0,1.0,0.0
Microsoma exiguum,2022,26Jun2022,CAS0000103,1.0,1.0,0.0,0.0
Microsoma exiguum,2022,26Jun2022,CAS0000104,0.0,1.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000105,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000106,1.0,0.0,0.0,1.0
Siphona pauciseta,2022,03Nov2022,CAS0000107,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000108,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,03Nov2022,CAS0000109,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,03Nov2022,CAS0000110,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,03Nov2022,CAS0000111,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,03Nov2022,CAS0000112,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000113,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000114,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000115,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000116,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000117,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000118,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000119,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000120,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,03Nov2022,CAS0000121,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000122,0.0,1.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000123,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,03Nov2022,CAS0000124,0.0,1.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000125,0.0,1.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000126,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000127,1.0,0.0,0.0,1.0
Siphona pauciseta,2022,03Nov2022,CAS0000128,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,03Nov2022,CAS0000129,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,03Nov2022,CAS0000130,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,03Nov2022,CAS0000131,0.0,1.0,1.0,0.0
Catharosia pygmaea,2022,18Aug2022,CAS0000132,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,23Nov2022,CAS0000133,0.0,0.0,1.0,1.0
Trixion aberrans,2022,05Aug2022,CAS0000134,0.0,0.0,1.0,1.0
Microsoma exiguum,2022,20May2022,CAS0000135,1.0,0.0,0.0,1.0
Clausicella suturata,2022,28Jun2022,CAS0000136,1.0,0.0,1.0,0.0
Trixion aberrans,2022,06Jul2022,CAS0000137,1.0,0.0,1.0,0.0
,2022,06Jul2022,CAS0000138,1.0,0.0,1.0,0.0
,2022,21Jul2022,CAS0000139,1.0,0.0,1.0,0.0
Meigenia mutabilis-group,2022,21Jul2022,CAS0000140,1.0,0.0,1.0,0.0
Clausicella suturata,2022,21Jul2022,CAS0000141,1.0,0.0,1.0,0.0
Clausicella suturata,2022,05Aug2022,CAS0000142,0.0,1.0,0.0,1.0
Clausicella suturata,2022,05Aug2022,CAS0000143,1.0,0.0,1.0,0.0
Clausicella suturata,2022,05Aug2022,CAS0000144,1.0,0.0,0.0,1.0
Clausicella suturata,2022,05Aug2022,CAS0000145,0.0,1.0,1.0,0.0
Clausicella suturata,2022,05Aug2022,CAS0000146,0.0,0.0,1.0,1.0
Clausicella suturata,2022,05Aug2022,CAS0000147,0.0,0.0,1.0,1.0
Clausicella suturata,2022,05Aug2022,CAS0000148,1.0,0.0,1.0,0.0
Clausicella suturata,2022,05Aug2022,CAS0000149,1.0,0.0,0.0,1.0
,2022,10Aug2022,CAS0000150,1.0,1.0,0.0,0.0
Trixion aberrans,2022,18Aug2022,CAS0000151,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,26Jun2022,CAS0000152,1.0,0.0,1.0,0.0
Phytomyptera cingulata,2022,26Jun2022,CAS0000153,1.0,0.0,1.0,0.0
Phytomyptera sp.,2022,05Aug2022,CAS0000154,0.0,0.0,1.0,1.0
Loewia submetallica,2022,05Aug2022,CAS0000155,0.0,0.0,1.0,1.0
Gastrolepta anthracina,2022,05Aug2022,CAS0000156,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000157,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,10Aug2022,CAS0000158,1.0,0.0,1.0,0.0
Clausicella suturata,2022,10Aug2022,CAS0000159,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000160,1.0,0.0,1.0,0.0
Clausicella suturata,2022,10Aug2022,CAS0000161,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000162,1.0,0.0,1.0,0.0
Clausicella suturata,2022,10Aug2022,CAS0000163,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000164,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000165,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000166,0.0,1.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000167,1.0,1.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000168,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000169,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000170,1.0,0.0,1.0,0.0
Clausicella suturata,2022,10Aug2022,CAS0000171,1.0,1.0,0.0,0.0
Clausicella suturata,2022,10Aug2022,CAS0000172,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000173,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000174,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000175,0.0,1.0,1.0,0.0
Clausicella suturata,2022,10Aug2022,CAS0000176,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000177,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000178,0.0,1.0,1.0,0.0
Clausicella suturata,2022,10Aug2022,CAS0000179,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000180,0.0,0.0,1.0,1.0
Clausicella suturata,2022,10Aug2022,CAS0000181,0.0,0.0,1.0,1.0
Meigenia mutabilis-group,2022,03Nov2022,CAS0000182,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,03Nov2022,CAS0000183,0.0,1.0,1.0,0.0
Meigenia mutabilis-group,2022,03Nov2022,CAS0000184,1.0,0.0,1.0,0.0
Clausicella suturata,2022,18Aug2022,CAS0000185,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000186,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000187,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000188,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000189,1.0,0.0,0.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000190,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000191,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000192,0.0,1.0,0.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000193,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000194,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000195,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000196,1.0,0.0,1.0,0.0
Clausicella suturata,2022,18Aug2022,CAS0000197,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000198,1.0,0.0,0.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000199,1.0,0.0,1.0,0.0
Clausicella suturata,2022,18Aug2022,CAS0000200,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000201,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000202,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000203,0.0,1.0,1.0,0.0
Clausicella suturata,2022,18Aug2022,CAS0000204,0.0,1.0,0.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000205,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000206,0.0,1.0,1.0,0.0
Clausicella suturata,2022,18Aug2022,CAS0000207,1.0,0.0,1.0,0.0
Clausicella suturata,2022,18Aug2022,CAS0000208,0.0,1.0,0.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000209,1.0,1.0,0.0,0.0
Clausicella suturata,2022,18Aug2022,CAS0000210,0.0,1.0,0.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000211,1.0,1.0,1.0,0.0
Clausicella suturata,2022,18Aug2022,CAS0000212,0.0,0.0,1.0,1.0
Clausicella suturata,2022,18Aug2022,CAS0000213,0.0,0.0,1.0,1.0
,2022,21Jun2022,CAS0000214,0.0,0.0,1.0,1.0
,2022,21Jun2022,CAS0000215,0.0,0.0,1.0,1.0
,2022,21Jun2022,CAS0000216,1.0,1.0,0.0,0.0
,2022,21Jun2022,CAS0000217,1.0,1.0,0.0,0.0
,2022,21Jun2022,CAS0000218,0.0,0.0,1.0,1.0
,2022,21Jun2022,CAS0000219,0.0,0.0,1.0,1.0
Nemorilla maculosa,2022,21Jun2022,CAS0000220,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,26Jun2022,CAS0000221,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,26Jun2022,CAS0000222,1.0,0.0,0.0,1.0
Peribaea tibialis,2022,26Jun2022,CAS0000223,0.0,0.0,1.0,1.0
Clausicella suturata,2022,3Nov2022,CAS0000224,0.0,1.0,1.0,0.0
,2022,20May2022,CAS0000225,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000226,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000227,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000228,0.0,1.0,1.0,0.0
,2022,28Jun2022,CAS0000229,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000230,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000231,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000232,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000233,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000234,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000235,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000236,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000237,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000238,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000239,1.0,0.0,1.0,0.0
,2022,28Jun2022,CAS0000240,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000241,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000242,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000243,0.0,0.0,1.0,1.0
Compsilura concinnata,2022,08Sep2022,CAS0000244,0.0,0.0,1.0,1.0
Clausicella suturata,2022,26Apr2022,CAS0000245,1.0,1.0,0.0,0.0
Meigenia mutabilis-group,2022,28Jul2022,CAS0000246,0.0,0.0,1.0,1.0
Meigenia mutabilis-group,2022,28Jul2022,CAS0000247,0.0,0.0,1.0,1.0
Siphona sp.,2022,28Jul2022,CAS0000248,0.0,0.0,1.0,1.0
Platinya fimbriata,2022,28Jun2022,CAS0000249,1.0,1.0,0.0,0.0
Siphona pauciseta,2022,26Apr2022,CAS0000250,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,26Apr2022,CAS0000251,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,26Apr2022,CAS0000252,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,26Apr2022,CAS0000253,1.0,0.0,0.0,1.0
Siphona geniculata,2022,26Apr2022,CAS0000254,1.0,1.0,0.0,1.0
Siphona pauciseta,2022,20May2022,CAS0000255,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,20May2022,CAS0000256,0.0,1.0,1.0,0.0
Peribaea tibialis,2022,20May2022,CAS0000257,0.0,1.0,0.0,1.0
Loewia foeda,2022,20May2022,CAS0000258,1.0,1.0,0.0,0.0
Triarthria setipennis,2022,26Apr2022,CAS0000259,0.0,0.0,1.0,1.0
Triarthria setipennis,2022,26Apr2022,CAS0000260,1.0,1.0,0.0,0.0
Triarthria setipennis,2022,26Apr2022,CAS0000261,1.0,1.0,0.0,0.0
Triarthria setipennis,2022,26Apr2022,CAS0000262,0.0,0.0,1.0,1.0
Triarthria setipennis,2022,26Apr2022,CAS0000263,0.0,0.0,1.0,1.0
Triarthria setipennis,2022,26Apr2022,CAS0000264,1.0,1.0,0.0,0.0
Triarthria setipennis,2022,26Apr2022,CAS0000265,1.0,1.0,0.0,0.0
Triarthria setipennis,2022,26Apr2022,CAS0000266,0.0,1.0,1.0,0.0
Triarthria setipennis,2022,26Apr2022,CAS0000267,0.0,0.0,1.0,1.0
Triarthria setipennis,2022,26Apr2022,CAS0000268,0.0,0.0,1.0,1.0
Peribaea apicalis,2022,21Jul2022,CAS0000269,0.0,0.0,1.0,1.0
Trixion aberrans,2022,21Jul2022,CAS0000270,0.0,0.0,1.0,1.0
Mintho rufiventris,2022,18Aug2022,CAS0000271,1.0,1.0,0.0,0.0
Exorista deligata,2022,18Aug2022,CAS0000272,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,20May2022,CAS0000273,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,20May2022,CAS0000274,1.0,1.0,0.0,0.0
Actia pilipennis,2022,20May2022,CAS0000275,0.0,1.0,1.0,0.0
Peribaea tibialis,2022,20May2022,CAS0000276,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000277,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000278,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000279,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000280,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000281,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000282,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000283,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000284,0.0,1.0,0.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000285,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000286,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000287,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000288,0.0,1.0,0.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000289,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000290,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000291,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000292,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000293,0.0,1.0,1.0,0.0
,2022,28Jun2022,CAS0000294,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000295,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000296,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000297,0.0,1.0,0.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000298,1.0,0.0,0.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000299,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000300,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000301,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000302,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000303,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000304,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000305,0.0,1.0,1.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000306,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,28Jun2022,CAS0000307,1.0,0.0,0.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000308,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000309,0.0,1.0,0.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000310,0.0,1.0,0.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000311,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000312,0.0,1.0,0.0,1.0
Peribaea tibialis,2022,28Jun2022,CAS0000313,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,26Apr2022,CAS0000314,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,26Apr2022,CAS0000315,0.0,0.0,1.0,1.0
Microsoma exiguum,2022,26Apr2022,CAS0000316,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,26Apr2022,CAS0000317,1.0,0.0,0.0,1.0
Siphona pauciseta,2022,26Apr2022,CAS0000318,1.0,0.0,0.0,1.0
Siphona pauciseta,2022,26Apr2022,CAS0000319,0.0,0.0,1.0,1.0
Loewia piligena,2022,04Jun2022,CAS0000320,1.0,1.0,0.0,0.0
Loewia piligena,2022,04Jun2022,CAS0000321,1.0,1.0,0.0,0.0
Phytomyptera stackelbergi,2022,04Jun2022,CAS0000322,1.0,1.0,0.0,0.0
Clausicella suturata,2022,06Jul2022,CAS0000323,0.0,0.0,1.0,1.0
Phytomyptera nigrina,2022,04Jun2022,CAS0000324,1.0,0.0,0.0,0.0
,2022,21Jun2022,CAS0000325,1.0,1.0,0.0,0.0
,2022,21Jun2022,CAS0000326,0.0,0.0,1.0,1.0
Leucostoma simplex,2022,28Jul2022,CAS0000327,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,06Jul2022,CAS0000328,0.0,0.0,1.0,1.0
Catharosia pygmaea,2022,05Ago2022,CAS0000329,1.0,0.0,0.0,1.0
