PlateID: ,CAS004,,,,,,
LenseUsed: ,MV65051B - 117 mm,,,,,,
,,,,,,,
Species,Age,DataMalaise,SpecimenCode/Filename,Ventral,Dorsal,Lateral(left),Lateral(right)
Peribaea tibialis,2022,04Jun2022,CAS0000346,1,1,0,0
Peribaea tibialis,2022,04Jun2022,CAS0000347,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000348,1,0,1,0
Peribaea tibialis,2022,04Jun2022,CAS0000349,1,0,1,0
Peribaea tibialis,2022,04Jun2022,CAS0000350,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000351,1,1,0,0
Peribaea tibialis,2022,04Jun2022,CAS0000352,1,0,1,0
Peribaea tibialis,2022,04Jun2022,CAS0000353,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000354,0,0,1,1
Siphona pauciseta,2022,04Jun2022,CAS0000355,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000356,0,0,1,1
Clausicella suturata,2022,04Jun2022,CAS0000357,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000358,1,1,0,0
Peribaea tibialis,2022,04Jun2022,CAS0000359,0,0,1,1
Siphona pauciseta,2022,04Jun2022,CAS0000360,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000361,0,1,0,1
Siphona geniculata,2022,04Jun2022,CAS0000362,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000363,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000364,1,0,1,0
Siphona pauciseta,2022,04Jun2022,CAS0000365,1,0,0,1
Peribaea tibialis,2022,04Jun2022,CAS0000366,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000367,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000368,1,0,0,1
Peribaea tibialis,2022,04Jun2022,CAS0000369,1,0,0,1
Peribaea tibialis,2022,04Jun2022,CAS0000370,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000371,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000372,1,1,0,0
Peribaea tibialis,2022,04Jun2022,CAS0000373,1,0,1,0
Peribaea tibialis,2022,04Jun2022,CAS0000374,1,0,0,1
Peribaea tibialis,2022,04Jun2022,CAS0000375,0,1,1,0
Siphona pauciseta,2022,04Jun2022,CAS0000376,1,1,0,0
Peribaea tibialis,2022,04Jun2022,CAS0000377,1,1,0,0
Peribaea tibialis,2022,04Jun2022,CAS0000378,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000379,1,0,0,1
Peribaea tibialis,2022,04Jun2022,CAS0000380,0,0,1,1
