PlateID: ,CAS003,,,,,,
LenseUsed: ,MV65051B - 117 mm,,,,,,
,,,,,,,
Species,Age,DataMalaise,SpecimenCode/Filename,Ventral,Dorsal,Lateral(left),Lateral(right)
Triarthria setipennis,2022,26Apr2022,CAS0000259,0,0,1,1
Triarthria setipennis,2022,26Apr2022,CAS0000260,1,1,0,0
Triarthria setipennis,2022,26Apr2022,CAS0000261,1,1,0,0
Triarthria setipennis,2022,26Apr2022,CAS0000262,0,0,1,1
Triarthria setipennis,2022,26Apr2022,CAS0000263,0,0,1,1
Triarthria setipennis,2022,26Apr2022,CAS0000264,1,1,0,0
Triarthria setipennis,2022,26Apr2022,CAS0000265,1,1,0,0
Triarthria setipennis,2022,26Apr2022,CAS0000266,0,1,1,0
Triarthria setipennis,2022,26Apr2022,CAS0000267,0,0,1,1
Triarthria setipennis,2022,26Apr2022,CAS0000268,0,0,1,1
Peribaea apicalis,2022,21Jul2022,CAS0000269,0,0,1,1
Trixion aberrans,2022,21Jul2022,CAS0000270,0,0,1,1
Mintho rufiventris,2022,18Aug2022,CAS0000271,1,1,0,0
Exorista deligata,2022,18Aug2022,CAS0000272,0,0,1,1
Peribaea tibialis,2022,20May2022,CAS0000273,0,0,1,1
Peribaea tibialis,2022,20May2022,CAS0000274,1,1,0,0
Actia pilipennis,2022,20May2022,CAS0000275,0,1,1,0
Peribaea tibialis,2022,20May2022,CAS0000276,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000277,1,1,0,0
Peribaea tibialis,2022,28Jun2022,CAS0000278,1,1,0,0
Peribaea tibialis,2022,28Jun2022,CAS0000279,1,1,0,0
Peribaea tibialis,2022,28Jun2022,CAS0000280,1,1,0,0
Peribaea tibialis,2022,28Jun2022,CAS0000281,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000282,1,1,0,0
Peribaea tibialis,2022,28Jun2022,CAS0000283,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000284,0,1,0,1
Peribaea tibialis,2022,28Jun2022,CAS0000285,1,1,0,0
